ANALYST,DATE,BROKER,RATING,RECOMMENDATION,TARGET_PRICE,BBTICKER,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME
Jamrgett,3/5/2020,Beerg,5,buy,122,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Joneeney,3/3/2020,Corch,3,equalweight,105,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
MarDeboo,3/2/2020,Jeies,3,hold,105,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Niclberg,3/1/2020,Lirum,3,hold,107,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Antpagna,2/27/2020,ISEVA,5,overweight,-2.42E-14,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Laurisot,2/26/2020,Alope,4,add,113,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Ricaylor,2/25/2020,Moley,5,Overwt/In-Line,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Lauandet,2/25/2020,Guies,5,buy,114,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
DavHayes,2/24/2020,Soale,5,buy,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Valtaldy,2/24/2020,DaDay,5,buy,121.95,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Alaskine,2/21/2020,Crsse,3,neutral,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Celnnuti,2/19/2020,J.gan,5,overweight,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Gerpisch,2/18/2020,Laerg,3,hold,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Larbrink,2/18/2020,InmbH,3,hold,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Alahuber,2/18/2020,Ma AG,5,buy,122,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
JamJones,2/17/2020,RBets,1,underperform,91,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Nikliver,2/17/2020,UBUBS,5,buy,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Andn Arx,2/14/2020,Bavea,4,add,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Jerialko,2/14/2020,HSSBC,3,hold,108,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Pieegner,2/14/2020,OdBHF,5,buy,118,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Jeatschy,2/14/2020,Ba AG,5,buy,116,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Jonn Cox,2/14/2020,Keeux,5,buy,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Virumage,2/14/2020,Br Co,3,neutral,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Warerman,2/14/2020,Baays,5,overweight,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Cedsnard,2/13/2020,Ciiti,5,buy,117,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Ioatikis,2/13/2020,MoInc,1,sell,91,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Axeghaus,2/13/2020,DZ AG,3,hold,110,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
JefStent,2/13/2020,Exbas,1,underperform,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Evahiele,2/4/2020,Deank,3,hold,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
And Wood,1/13/2020,Beein,3,market perform,101,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
JohEnnis,11/28/2019,Gochs,5,buy,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Tritrien,10/11/2019,Reted,3,neutral,-2.42E-14,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Stengnau,6/18/2019,Eroup,5,buy,-2.42E-14,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Laurdron,10/19/2017,InmbH,3,hold,92,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
DevMehra,5/12/2016,Fiing,5,long-term outperform,82,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Ricosser,3/9/2020,J.gan,5,overweight,375,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Eriigaud,3/6/2020,Br Co,5,buy,360,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Emmdakis,3/6/2020,Baays,5,overweight,385,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
And Baum,3/5/2020,Ciiti,5,buy,395,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SurGupta,3/5/2020,Alope,2,reduce,342,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Damnover,3/4/2020,MoInc,5,buy,381,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marrcell,3/2/2020,Moley,5,Overwt/In-Line,360,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Valtaldy,3/2/2020,DaDay,5,buy,377.42,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
GraDoyle,3/1/2020,Lirum,3,hold,300,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Mateston,2/26/2020,Crsse,3,neutral,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Olailian,2/25/2020,Miies,5,buy,389,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Keyarekh,2/20/2020,Gochs,5,buy,400,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timerson,2/18/2020,Worch,3,peerperform,331,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Petlford,2/10/2020,Jeies,5,buy,370,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micchten,2/6/2020,UBUBS,5,buy,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Narouhan,2/5/2020,Inlth,5,buy,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Ricarkes,2/4/2020,Deank,5,buy,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tobchalt,2/4/2020,InmbH,3,hold,333,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
DavEvans,2/4/2020,Keeux,3,hold,272,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timchner,2/3/2020,Laerg,5,buy,360,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Steeider,2/3/2020,Ba AG,5,buy,367,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Martures,1/30/2020,OdBHF,2,reduce,266,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
ElmKraus,1/30/2020,DZ AG,3,hold,316,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micacock,1/30/2020,Ma AG,5,buy,370,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SteGarry,1/27/2020,HSSBC,2,reduce,234,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SimBaker,1/10/2020,Reted,3,neutral,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
JusSmith,11/21/2019,Soale,3,hold,285,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Luiector,10/21/2019,Exbas,1,underperform,260,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Johaszak,1/28/2019,Arorp,5,buy,39.64,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
HanEngel,6/12/2018,Eroup,3,hold,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Amit Roy,3/27/2018,FoLLP,1,underweight,235,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Casy Lea,3/23/2018,ISEVA,5,buy,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
BruBulic,10/19/2017,Bavea,3,hold,231,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Beringer,10/19/2017,InmbH,5,buy,300,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tarndran,8/9/2017,Shers,NA,not rated,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marnther,6/9/2016,Hasse,5,buy,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Eriigaud,3/6/2020,Br Co,5,buy,107,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Seaandez,3/6/2020,Guies,3,neutral,-2.42E-14,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SurGupta,3/5/2020,Alope,5,buy,105,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Damnover,3/4/2020,MoInc,5,buy,94,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Emmdakis,3/4/2020,Baays,1,underweight,85,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
GraDoyle,3/1/2020,Lirum,5,buy,100,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Lauliffe,2/26/2020,UBUBS,3,neutral,90,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
DavEvans,2/26/2020,Keeux,3,hold,88,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Mateston,2/25/2020,Crsse,3,neutral,96,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Petlford,2/25/2020,Jeies,5,buy,105,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Steeider,2/25/2020,Ba AG,3,hold,88,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Valtaldy,2/24/2020,DaDay,5,buy,116.8,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
And Baum,2/18/2020,Ciiti,3,neutral,103,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timchner,2/12/2020,Laerg,5,buy,104,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marrcell,2/5/2020,Moley,1,Underwt/In-Line,93,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Jul Mead,2/3/2020,HSSBC,3,hold,90,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tobchalt,1/31/2020,InmbH,3,hold,103,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Flopedes,1/30/2020,Soale,5,buy,111,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Ricarkes,1/30/2020,Deank,3,hold,96,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Ricosser,1/30/2020,J.gan,1,underweight,91,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Narouhan,1/30/2020,Inlth,5,buy,115,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Martures,1/29/2020,OdBHF,5,buy,103,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
ElmKraus,1/29/2020,DZ AG,5,buy,105,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micacock,1/29/2020,Ma AG,3,hold,95,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timerson,1/29/2020,Worch,5,outperform,105,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Olailian,1/27/2020,Miies,5,buy,105,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Keyarekh,1/20/2020,Gochs,5,buy,113,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Teaerage,1/10/2020,Reted,5,buy,-2.42E-14,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Kerlford,11/25/2019,Exbas,3,neutral,83,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Casy Lea,10/23/2019,ISEVA,5,buy,-2.42E-14,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Joh Eade,7/23/2019,Arorp,5,buy,103.44,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
HanEngel,11/15/2018,Eroup,5,buy,-2.42E-14,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tarndran,6/19/2017,Shers,NA,not rated,-2.42E-14,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marnther,4/21/2016,Hasse,3,neutral,-2.42E-14,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
KazAndac,3/6/2020,Deank,NA,not rated,-2.42E-14,HSBA LN Equity,Financials,Banks
Guybings,3/6/2020,Exbas,1,underperform,490,HSBA LN Equity,Financials,Banks
Davztajn,3/6/2020,Alope,2,reduce,472,HSBA LN Equity,Financials,Banks
RonGhose,3/4/2020,Ciiti,1,sell,470,HSBA LN Equity,Financials,Banks
Jannertz,3/4/2020,InmbH,3,hold,580,HSBA LN Equity,Financials,Banks
Fahunwar,3/4/2020,Reted,1,sell,-2.42E-14,HSBA LN Equity,Financials,Banks
RauSinha,3/2/2020,J.gan,1,underweight,570,HSBA LN Equity,Financials,Banks
EdwFirth,3/2/2020,Keods,5,outperform,620,HSBA LN Equity,Financials,Banks
Amaakkar,3/2/2020,Baays,1,underweight,550,HSBA LN Equity,Financials,Banks
Maritgeb,3/1/2020,Gochs,5,buy,785,HSBA LN Equity,Financials,Banks
Ben Toms,2/28/2020,RBets,1,underperform,520,HSBA LN Equity,Financials,Banks
Cla Kane,2/28/2020,Crsse,5,outperform,635,HSBA LN Equity,Financials,Banks
Petrdson,2/26/2020,Beerg,1,sell,490,HSBA LN Equity,Financials,Banks
Scossell,2/25/2020,Marie,1,underperform,530,HSBA LN Equity,Financials,Banks
Cin Wang,2/25/2020,DBank,3,hold,531.75,HSBA LN Equity,Financials,Banks
Valtaldy,2/24/2020,DaDay,1,sell,495.87,HSBA LN Equity,Financials,Banks
Jamnvine,2/19/2020,Soale,3,hold,600,HSBA LN Equity,Financials,Banks
Micel Wu,2/19/2020,MoInc,5,buy,697.21,HSBA LN Equity,Financials,Banks
Magklosa,2/18/2020,Moley,1,Underwt/Attractive,520,HSBA LN Equity,Financials,Banks
Ianordon,2/18/2020,Intec,5,buy,620,HSBA LN Equity,Financials,Banks
Jasapier,2/18/2020,UBUBS,3,neutral,530,HSBA LN Equity,Financials,Banks
Joserson,2/18/2020,Jeies,5,buy,790,HSBA LN Equity,Financials,Banks
Garnwood,2/18/2020,Shers,3,hold,580,HSBA LN Equity,Financials,Banks
Marchker,2/18/2020,DZ AG,1,sell,540,HSBA LN Equity,Financials,Banks
Tomayner,2/17/2020,Nuies,3,hold,600,HSBA LN Equity,Financials,Banks
Aniarwal,1/7/2020,Moley,1,Underwt/Cautious,509.28,HSBA LN Equity,Financials,Banks
Gur Sahi,11/13/2019,Gochs,5,buy,745.91,HSBA LN Equity,Financials,Banks
JonPeace,10/29/2019,Crsse,3,neutral,655,HSBA LN Equity,Financials,Banks
Patk Lee,10/14/2019,Grder,5,buy,800,HSBA LN Equity,Financials,Banks
Ricd Cao,9/1/2019,GuLtd,4,accumulate,733.55,HSBA LN Equity,Financials,Banks
Huiu Xue,8/12/2019,SWrch,3,hold,672.81,HSBA LN Equity,Financials,Banks
San Chen,5/4/2018,CeLtd,3,hold,-2.42E-14,HSBA LN Equity,Financials,Banks
Pat Pong,11/15/2017,SoLtd,5,buy,806.74,HSBA LN Equity,Financials,Banks
RobNoble,7/16/2017,RBets,3,sector perform,675,HSBA LN Equity,Financials,Banks
Stengnau,6/30/2017,Eroup,3,hold,-2.42E-14,HSBA LN Equity,Financials,Banks
Andiltri,4/12/2017,MeSpA,NA,suspended coverage,-2.42E-14,HSBA LN Equity,Financials,Banks
Annlwein,8/10/2016,Laerg,3,hold,540,HSBA LN Equity,Financials,Banks
Steterne,3/8/2020,EvISI,5,outperform,146,SAP GR Equity,Information Technology,Software & Services
Henstsen,3/6/2020,Jyank,5,buy,140,SAP GR Equity,Information Technology,Software & Services
Luireira,3/5/2020,Alope,4,add,126,SAP GR Equity,Information Technology,Software & Services
Marrdler,3/3/2020,Beein,5,outperform,141,SAP GR Equity,Information Technology,Software & Services
Charaman,2/26/2020,Ma AG,5,buy,150,SAP GR Equity,Information Technology,Software & Services
Jamodman,2/25/2020,Baays,5,overweight,150,SAP GR Equity,Information Technology,Software & Services
Valtaldy,2/24/2020,DaDay,5,buy,139.6,SAP GR Equity,Information Technology,Software & Services
Ricguyen,2/20/2020,Soale,5,buy,150,SAP GR Equity,Information Technology,Software & Services
Micriest,2/19/2020,UBUBS,3,neutral,130,SAP GR Equity,Information Technology,Software & Services
Steinski,2/14/2020,Exbas,5,outperform,150,SAP GR Equity,Information Technology,Software & Services
Antpagna,2/12/2020,ISEVA,3,hold,-2.42E-14,SAP GR Equity,Information Technology,Software & Services
Knuoller,2/7/2020,Bavea,4,add,135,SAP GR Equity,Information Technology,Software & Services
Stallard,1/31/2020,J.gan,5,overweight,135,SAP GR Equity,Information Technology,Software & Services
MirMaier,1/30/2020,Laerg,5,buy,135,SAP GR Equity,Information Technology,Software & Services
Carevino,1/29/2020,Grder,1,underweight,92,SAP GR Equity,Information Technology,Software & Services
WolDonie,1/29/2020,No/LB,5,buy,135,SAP GR Equity,Information Technology,Software & Services
Chaennan,1/29/2020,Crsse,5,outperform,144,SAP GR Equity,Information Technology,Software & Services
Amindani,1/29/2020,Ciiti,5,buy,140,SAP GR Equity,Information Technology,Software & Services
Antaudry,1/29/2020,HSSBC,5,buy,145,SAP GR Equity,Information Technology,Software & Services
NicDavid,1/29/2020,OdBHF,3,neutral,121,SAP GR Equity,Information Technology,Software & Services
Andsperi,1/29/2020,Beerg,5,buy,135,SAP GR Equity,Information Technology,Software & Services
LauDaure,1/29/2020,Keeux,3,hold,120,SAP GR Equity,Information Technology,Software & Services
Gremirez,1/29/2020,Br Co,5,buy,153,SAP GR Equity,Information Technology,Software & Services
NeiSteer,1/29/2020,Reted,5,buy,-2.42E-14,SAP GR Equity,Information Technology,Software & Services
Floeisch,1/28/2020,Coank,5,buy,145,SAP GR Equity,Information Technology,Software & Services
Ale Tout,1/28/2020,Deank,3,hold,120,SAP GR Equity,Information Technology,Software & Services
Ada Wood,1/28/2020,Moley,3,Equalwt/In-Line,118,SAP GR Equity,Information Technology,Software & Services
Julafini,1/28/2020,Jeies,5,buy,140,SAP GR Equity,Information Technology,Software & Services
Mar Jost,1/28/2020,InmbH,3,hold,129,SAP GR Equity,Information Technology,Software & Services
And Wolf,1/28/2020,M.rch,5,buy,145,SAP GR Equity,Information Technology,Software & Services
Phinslow,1/28/2020,Weies,5,overweight,155,SAP GR Equity,Information Technology,Software & Services
Johrrett,1/28/2020,MoInc,3,hold,120,SAP GR Equity,Information Technology,Software & Services
Haritzer,1/28/2020,DZ AG,5,buy,134.9,SAP GR Equity,Information Technology,Software & Services
Mohwalla,1/24/2020,Gochs,5,buy,175,SAP GR Equity,Information Technology,Software & Services
Holhmidt,1/6/2020,Baler,5,buy,140,SAP GR Equity,Information Technology,Software & Services
Braeback,10/21/2019,Stfel,3,hold,118,SAP GR Equity,Information Technology,Software & Services
Osciguez,10/4/2019,Baell,5,buy,145,SAP GR Equity,Information Technology,Software & Services
Patavens,8/16/2019,JMies,4,market outperform,135.22,SAP GR Equity,Information Technology,Software & Services
Matdberg,7/18/2019,RBets,5,outperform,150,SAP GR Equity,Information Technology,Software & Services
Stengnau,6/18/2019,Eroup,5,buy,-2.42E-14,SAP GR Equity,Information Technology,Software & Services
Josonner,4/30/2019,Arorp,5,buy,129.27,SAP GR Equity,Information Technology,Software & Services
Marnther,4/12/2016,Hasse,3,neutral,-2.42E-14,SAP GR Equity,Information Technology,Software & Services
Jamordon,3/9/2020,J.gan,5,overweight,8500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micchten,3/6/2020,UBUBS,1,sell,6000,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
And Baum,3/6/2020,Ciiti,5,buy,10000,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Eriigaud,3/6/2020,Br Co,5,buy,8350,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Emmdakis,3/6/2020,Baays,5,overweight,8500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marrcell,3/5/2020,Moley,3,Equalwt/In-Line,8250,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
SurGupta,3/5/2020,Alope,4,add,8257,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Damnover,3/4/2020,MoInc,3,hold,6990,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Valtaldy,3/2/2020,DaDay,5,buy,8627,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Alipbell,3/1/2020,Lirum,5,buy,8810,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Petlford,2/28/2020,Jeies,3,hold,7475,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Casy Lea,2/27/2020,ISEVA,1,underweight,-2.42E-14,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Mateston,2/26/2020,Crsse,5,outperform,8500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Ricarkes,2/25/2020,Deank,5,buy,8300,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Seaandez,2/21/2020,Guies,5,buy,8602,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
SimBaker,2/19/2020,Reted,5,buy,-2.42E-14,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tobchalt,2/18/2020,InmbH,3,hold,8000,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
DavEvans,2/18/2020,Keeux,5,buy,7700,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Chr Uhde,2/17/2020,SEies,3,hold,6926.11,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Eritgard,2/17/2020,Cagie,5,buy,8717.08,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Martures,2/17/2020,OdBHF,5,buy,8000,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Petested,2/17/2020,Haken,5,buy,8320.85,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micacock,2/17/2020,Ma AG,5,buy,8100,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timerson,2/17/2020,Worch,5,outperform,8500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Adaarker,2/14/2020,Shers,5,buy,8400,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
ElmKraus,2/14/2020,DZ AG,1,sell,6500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Narouhan,2/14/2020,Inlth,5,buy,10000,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
JusSmith,2/3/2020,Soale,5,buy,10500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
BriWhite,1/31/2020,Caald,5,buy,8400,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Keyarekh,1/21/2020,Gochs,1,sell,6000,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Jul Mead,12/23/2019,HSSBC,2,reduce,6260,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Joh Eade,11/12/2019,Arorp,5,buy,4044.17,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Luiector,10/28/2019,Exbas,5,outperform,7500,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timchner,10/24/2019,Laerg,5,buy,7900,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Pettling,4/28/2019,Paies,3,hold,5458.78,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Hanahler,3/26/2019,Nodea,NA,suspended coverage,-2.42E-14,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Anditney,2/4/2019,Intec,NA,suspended coverage,-2.42E-14,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
RajGupta,1/25/2019,Wited,NA,not rated,-2.42E-14,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Teaerage,7/25/2018,Daank,NA,suspended coverage,-2.42E-14,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Amit Roy,7/28/2017,FoLLP,5,overweight,5600,AZN LN Equity,Health Care,"Pharmaceuticals, Biotechnology"
Hugoster,3/6/2020,Alope,4,add,316,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Amindani,3/5/2020,Ciiti,5,buy,310,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
JanMenon,3/5/2020,Lirum,5,buy,295,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Marrk Li,3/4/2020,Beein,3,market perform,316,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Davlland,3/3/2020,UBUBS,5,buy,300,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Kriankar,3/3/2020,Cowen,3,market perform,270,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Antpagna,3/3/2020,ISEVA,5,overweight,-2.42E-14,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Sanpande,3/2/2020,J.gan,5,overweight,280,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Valtaldy,3/2/2020,DaDay,5,buy,371.9,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Abhuluri,2/24/2020,MoInc,1,sell,200,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
AleDuval,2/18/2020,Gochs,5,buy,340,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Petofsen,2/18/2020,Keeux,3,hold,270,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
JerRamel,2/18/2020,Exbas,5,outperform,330,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Achtania,2/17/2020,Crsse,5,outperform,330,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Jueagner,2/13/2020,Ma AG,3,hold,290,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Freoboue,2/12/2020,Br Co,5,buy,290,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
C M Muse,1/31/2020,EvISI,5,outperform,325,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
SteHouri,1/30/2020,OdBHF,5,buy,320,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Robnders,1/24/2020,Deank,3,hold,260,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Carevino,1/23/2020,Grder,3,hold,-2.42E-14,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Aleeterc,1/23/2020,Soale,5,buy,340,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Domewski,1/23/2020,Moley,5,Overwt/In-Line,290,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
WolDonie,1/23/2020,No/LB,5,buy,305,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Marrberg,1/23/2020,KBies,5,buy,300,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Mic Roeg,1/23/2020,Bacam,5,buy,300,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Kev Wang,1/23/2020,Miies,5,buy,310,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Ingrmann,1/23/2020,DZ AG,3,hold,272,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
Mehseini,1/23/2020,Suial,3,neutral,240,ASML NA Equity,Information Technology,Semiconductors & Semiconductor
